MSOA_code,number_measured,number_obese,obesity_rate,overcrowded_percent,lone_parent_percent,long_commute_percent,social_housing_percent,unemployment_rate,inactive_rate,nonwhite_percent,higher_education_percent,average_household_size,percent_age_10_11
E02000001,56.0,13.0,23.214285714285715,4.776422764227642,3.559804719283971,9.95850622406639,14.855514855514857,5.75907009510391,27.100081556565303,30.626747437092263,74.18186360229828,1.702889702889703,1.0723860589812333
E02000002,254.0,61.0,24.015748031496063,16.376306620209057,21.699756182514804,43.16546762589928,41.77700348432056,9.85523385300668,28.893986959671576,51.183289060613376,30.91060985797828,2.864808362369338,3.924646781789639
E02000003,313.0,75.0,23.961661341853038,14.631043256997456,15.873823454591706,47.08879184861718,13.282442748091604,7.657021877205364,27.52404887771904,59.334373374935,34.0151429540061,2.9078880407124683,2.5458953931416697
E02000004,138.0,29.0,21.014492753623188,8.24295010845987,14.032048505846689,42.83143371325735,16.154179298397576,7.651245551601423,29.262048192771083,37.14242697982535,30.74317968015052,2.794372294372294,2.3641017918988103
E02000005,363.0,88.0,24.24242424242424,15.702479338842975,19.547835676867937,42.64384559359068,25.13781697905182,7.406702208682407,24.6774339077867,55.62674848840358,33.78395293528602,3.043286462641301,3.400685549341512
E02000007,370.0,95.0,25.675675675675677,15.918367346938776,22.15568862275449,44.936708860759495,42.21980413492928,8.383361921097771,27.594687653713724,48.99645808736718,31.703723546745245,2.7293989665488168,3.58161960051166
E02000008,421.0,115.0,27.315914489311165,16.450216450216452,21.181306793595848,41.98746642793196,35.502702702702706,9.019795657726691,27.066193674994334,45.38252602987777,28.51487158664095,2.8574826989619377,3.662035638779825
E02000009,348.0,104.0,29.88505747126437,18.44888366627497,19.49729856706601,44.11483253588517,34.55571227080395,8.536790705505977,26.546952736318406,55.93905472636816,33.504383151592904,2.996238834038552,3.863194714341236
E02000010,355.0,89.0,25.070422535211268,16.366366366366368,21.52088969041178,46.53344208809136,33.61369780714929,8.364030335861322,25.935687928307853,42.73666455829644,30.996466431095403,2.84765625,3.174435773043661
E02000011,235.0,59.0,25.106382978723403,14.437367303609342,16.355140186915886,51.26099706744868,14.917127071823206,8.009492732126965,29.11392405063291,48.35680751173709,31.13695090439276,2.934551636209094,2.915659223439056
E02000012,374.0,95.0,25.40106951871658,17.17325227963526,11.854103343465043,41.38719512195122,12.226277372262777,7.714915503306392,29.55789107964909,74.13553431798437,34.166195590729224,3.445424141076315,3.170604586518416
E02000013,354.0,83.0,23.44632768361582,15.821812596006144,20.852499233364,43.411513859275054,37.05069124423963,8.042279411764707,27.791378392762105,43.69613788700926,30.078966259870786,2.8779963122311,3.503727369542066
E02000014,347.0,86.0,24.78386167146974,16.371681415929203,20.93297903749631,46.35436343029845,35.62573789846517,9.030516919244343,26.517992904206796,39.710056772100565,28.25238799946186,2.8907910271546635,3.447576556479416
E02000015,287.0,77.0,26.82926829268293,18.646864686468646,20.33618984838497,48.44290657439446,47.22955145118733,10.153452685421994,25.75039494470774,51.89596499756928,32.641885164288084,2.7089650626235997,3.598784194528876
E02000016,296.0,71.0,23.986486486486484,25.098554533508544,15.980057727630545,47.36012608353034,34.46194225721785,11.169693419254052,23.28442972077615,72.56813020439061,43.90662094434186,2.7643663080556284,2.971233913701741
E02000017,283.0,70.0,24.73498233215548,22.382671480144403,11.492591254065774,46.622516556291394,10.697506324539212,8.368293221461691,28.594896506406748,68.25049266476898,34.63100406105588,3.2608381502890174,2.463863337713535
E02000018,369.0,98.0,26.558265582655828,18.23802163833076,21.92331478045764,43.04778303917348,37.77846534653465,9.954853273137696,26.88442211055276,47.87479061976549,31.68500786051165,2.943104514533086,3.298429319371728
E02000019,339.0,92.0,27.13864306784661,17.160686427457097,22.776911076443056,46.20148637489677,35.59850374064838,8.92348169261127,25.483704086911533,47.86254010971949,31.77157504984335,2.993148551853005,3.373344370860927
E02000020,407.0,108.0,26.53562653562653,18.629550321199144,17.02673796791444,48.20751967356456,31.223267750213857,8.656934306569344,24.290288153681963,64.32332432047816,37.69485580670304,2.9976460517868606,3.49267321098307
E02000021,295.0,98.0,33.220338983050844,16.89419795221843,21.331058020477816,47.39963503649635,20.819112627986343,8.493827160493828,26.46420824295011,54.54752938491384,31.422738693467338,2.951877133105802,3.8220193953223047
E02000022,378.0,112.0,29.629629629629623,26.11806797853309,22.92560801144492,44.31412544620092,49.15981408652127,9.927555674805474,21.862086776859503,69.82034380250744,42.87296898079764,2.7590275294958886,3.3199844981268574
E02000023,282.0,77.0,27.30496453900709,21.428571428571427,23.357116034547506,45.75590155700653,48.17874577544124,9.946912545403745,25.27746601820676,67.54396906573531,36.94256154120585,2.9729628238828387,4.2134131139366735
E02006799,425.0,105.0,24.705882352941178,18.91891891891892,17.202365646695807,38.49343469246717,30.539845758354755,8.295843080798992,26.728148886673317,55.37375415282392,30.85772867069142,3.0709511568123395,3.122664230545636
E02000024,280.0,35.0,12.5,4.581005586592179,9.446181330951315,45.316331535066205,7.53072625698324,5.720864328728304,30.227838760261967,26.367746102038936,55.76599798274123,2.3978110341746706,2.405308266519215
E02000025,171.0,42.0,24.561403508771928,6.684491978609626,11.125933831376734,42.05983889528193,14.552736982643523,7.065337763012182,28.80447448147285,29.73193473193473,48.27586206896552,2.2893753336892684,2.1658127619934797
E02000026,173.0,32.0,18.497109826589597,4.3737574552683895,10.828025477707008,41.437802907916,5.774591796097173,5.523809523809524,31.996283103608487,30.25236104660164,46.66411042944785,2.555555555555556,2.443550881534179
