MSOA,long_commute_percent
E02000001,9.95850622406639
E02000002,43.16546762589928
E02000003,47.08879184861718
E02000004,42.83143371325735
E02000005,42.643845593590676
E02000007,44.936708860759495
E02000008,41.98746642793196
E02000009,44.11483253588517
E02000010,46.533442088091356
E02000011,51.26099706744868
E02000012,41.38719512195122
E02000013,43.411513859275054
E02000014,46.35436343029845
E02000015,48.44290657439446
E02000016,47.36012608353034
E02000017,46.622516556291394
E02000018,43.04778303917348
E02000019,46.201486374896774
E02000020,48.20751967356456
E02000021,47.39963503649635
E02000022,44.31412544620092
E02000023,45.75590155700653
E02000024,45.316331535066205
E02000025,42.05983889528193
E02000026,41.437802907915994
E02000027,38.34735279564572
E02000028,42.210682492581604
E02000029,38.481141692150864
E02000030,45.256334708308785
E02000031,41.16022099447514
E02000032,35.23219814241486
E02000033,35.68329718004338
E02000034,36.025848142164776
E02000035,40.625
E02000036,40.96334185848252
E02000037,42.11538461538461
E02000038,34.626168224299064
E02000039,39.53656770456191
E02000040,42.732919254658384
E02000041,40.954180444024566
E02000042,39.15799004074242
E02000043,39.6928051738076
E02000044,36.73085955847816
E02000045,27.57238307349666
E02000046,33.59486447931526
E02000047,36.46011639849366
E02000048,33.44316309719934
E02000049,38.666666666666664
E02000050,28.1875915974597
E02000051,30.064102564102562
E02000052,24.50873362445415
E02000054,36.24042427813789
E02000055,30.057803468208093
E02000056,19.907763259031512
E02000057,23.475258918296895
E02000058,21.189801699716714
E02000059,33.17631224764469
E02000060,15.909090909090908
E02000061,17.394270122783084
E02000062,20.612635609444798
E02000063,18.87043189368771
E02000064,18.441358024691358
E02000065,48.598130841121495
E02000066,41.863406408094434
E02000067,39.69322858211747
E02000068,41.92118226600986
E02000069,37.998875772906125
E02000070,36.33524206142634
E02000071,33.623503808487484
E02000072,43.97843019772319
E02000073,38.86030866640285
E02000074,36.30348478164976
E02000075,35.684647302904565
E02000077,39.029426948890034
E02000078,38.33605220228385
E02000079,40.847983453981385
E02000080,39.036039947894054
E02000081,38.96739130434783
E02000082,37.82474680757375
E02000083,40.34212401995723
E02000084,36.22013651877133
E02000085,35.245046923879045
E02000086,33.4984520123839
E02000087,41.265976871576385
E02000088,37.71213073538655
E02000089,37.47657713928795
E02000090,39.36015511391177
E02000091,36.27069133398248
E02000092,37.17521652231846
E02000093,39.796633941093965
E02000094,35.78093306288033
E02000095,38.498402555910545
E02000096,41.77831912302071
E02000097,30.577777777777776
E02000098,37.97260273972603
E02000099,42.399658411614006
E02000100,33.48623853211009
E02000101,29.63771278917503
E02000102,21.899886234357226
E02000103,21.541950113378686
E02000104,34.596375617792425
E02000105,32.33867959716524
E02000106,23.542116630669547
E02000107,17.672080433101314
E02000108,35.291285507944146
E02000110,20.67168500289519
E02000111,25.463358996293127
E02000112,24.667836550513915
E02000113,21.923268560039862
E02000114,15.248868778280544
E02000115,19.158878504672895
E02000116,15.94412331406551
E02000117,17.957872188504105
E02000118,21.373056994818654
E02000119,23.577568563241915
E02000120,12.400793650793652
E02000121,23.070824524312897
E02000122,15.12770137524558
E02000123,18.444165621079048
E02000124,12.017640573318634
E02000125,16.53734238603298
E02000126,16.957470010905126
E02000127,36.57945736434108
E02000128,40.298507462686565
E02000130,38.069544364508396
E02000131,40.19248395967003
E02000132,40.164330594490096
E02000133,48.59154929577465
E02000134,37.688237688237685
E02000135,37.532580364900085
E02000136,39.022222222222226
E02000137,40.69767441860465
E02000138,40.79497907949791
E02000139,39.6735273243435
E02000140,38.49535906204201
E02000141,38.21571238348868
E02000142,42.073538276069925
E02000144,43.00291545189505
E02000145,44.749518304431604
E02000146,41.650390625
E02000147,36.701337295690934
E02000148,41.60714285714286
E02000149,42.98245614035088
E02000150,30.977258758451136
E02000151,44.61538461538462
E02000152,38.64053888548683
E02000153,34.15106520335701
E02000154,42.616279069767444
E02000155,44.09090909090909
E02000156,35.3664087391898
E02000157,42.17032967032967
E02000158,42.395693135935396
E02000159,41.06351550960118
E02000160,34.94055482166446
E02000161,45.588235294117645
E02000162,39.130434782608695
E02000163,47.91519434628975
E02000165,52.64900662251656
E02000166,14.137033824804856
E02000167,13.127001067235858
E02000168,11.250925240562546
E02000169,15.748031496062993
E02000170,17.782738095238095
E02000171,13.45668629100084
E02000172,11.15202524986849
E02000173,12.133550488599349
E02000174,10.192837465564738
E02000175,17.733674775928296
E02000176,15.234822451317298
E02000177,10.139165009940358
E02000178,14.538419016030957
E02000179,12.457142857142857
E02000180,13.437926330150068
E02000181,15.420928402832415
E02000182,14.561234329797493
E02000183,14.433880726015557
E02000184,12.10560206052801
E02000185,14.079195474544312
E02000186,12.01923076923077
E02000187,10.024009603841536
E02000188,11.310861423220974
E02000191,11.233211233211234
E02000192,9.369676320272573
E02000193,8.155339805825243
E02000194,34.74399164054336
E02000195,29.71675468074892
E02000196,29.546695794647732
E02000197,33.065658951346244
E02000198,32.48093315388066
E02000199,34.50433108758422
E02000200,38.87530562347188
E02000201,37.45635910224439
E02000202,30.851063829787233
E02000203,30.1010101010101
E02000204,29.277108433734938
E02000206,35.35200605601817
E02000207,34.96168582375479
E02000208,29.803776379118847
E02000209,26.895734597156395
E02000210,33.25159391858754
E02000211,32.83898305084746
E02000212,26.65130568356375
E02000213,35.825747724317296
E02000214,34.57446808510639
E02000215,40.56875449964003
E02000216,42.5244177310293
E02000217,37.08118556701031
E02000218,35.794655414908576
E02000219,37.957124842370746
E02000221,32.623574144486696
E02000222,37.750556792873056
E02000223,33.01204819277108
E02000224,40.6850025947068
E02000225,36.828644501278774
E02000226,36.46591661151555
E02000227,35.1027397260274
E02000228,39.106583072100314
E02000229,38.20530251529572
E02000230,44.330949948927476
E02000231,43.22668481960517
E02000232,37.327188940092164
E02000233,41.96969696969697
E02000234,39.94490358126722
E02000235,41.92546583850932
E02000236,42.48366013071895
E02000237,39.180537772087064
E02000238,35.89225589225589
E02000239,35.40872511647607
E02000240,37.01618578465869
E02000241,37.66497461928934
E02000242,30.30803080308031
E02000243,34.67048710601719
E02000244,35.034013605442176
E02000245,32.79826464208243
E02000246,29.476818375159507
E02000247,31.316464979831316
