MSOA,average_household_size
E02000097,3.1162714097496704
E02000098,2.9822608695652173
E02000099,3.2173465889612616
E02000100,3.0692876605683144
E02000101,2.865327820437094
E02000102,3.0678092399403876
E02000103,2.8133487431378215
E02000104,3.009102192800993
E02000105,3.101705825555198
E02000106,2.851366424986057
E02000107,2.4931224209078406
E02000108,3.160070360598065
E02000110,2.623464770523594
E02000111,3.386591478696742
E02000112,3.257437070938215
E02000113,2.91314910416034
E02000114,2.3730779606150527
E02000115,2.1845836555813354
E02000116,2.623456790123457
E02000117,2.6406808152973316
E02000118,3.437757364586633
E02000119,2.622312167973691
E02000120,2.1194627709707823
E02000121,3.2646815550041355
E02000122,2.5754508067067383
E02000123,2.4443040259974724
E02000124,2.3841346153846152
E02000125,2.515728056823947
E02000126,2.388839941262849
E02000127,2.456010568031704
E02000128,2.476983349657199
E02000130,2.2949522510231923
E02000131,2.067087608524073
E02000132,1.980777013354917
E02000133,2.4585354585354584
E02000134,2.199056603773585
E02000135,2.1863605671843347
E02000136,2.436165577342048
E02000137,2.2493195427327164
E02000138,2.049770475960377
E02000139,2.3074365175332527
E02000140,2.588852262511238
E02000141,2.328049175024264
E02000142,2.513474355259345
E02000144,2.324675324675325
E02000145,2.5052661542840875
E02000146,2.359494924486259
E02000147,2.5874368686868685
E02000148,2.492780451684561
E02000149,2.483252131546894
E02000150,2.7005776636713734
E02000151,2.542885973763875
E02000152,2.568152454780362
E02000153,2.800414364640884
E02000154,2.3859501819199553
E02000155,2.3516447368421054
E02000156,2.517170470902735
E02000157,2.551082647148521
E02000158,2.564500164962059
E02000159,2.520028358738036
E02000160,2.639381985535832
E02000161,2.580789946140036
E02000162,2.376855600539811
E02000163,2.5135311379197915
E02000165,2.6124087591240874
E02000166,2.2655284074183104
E02000167,2.13044767269493
E02000168,2.212875536480687
E02000169,2.3678122934567085
E02000170,2.271362586605081
E02000171,2.2089462623836686
E02000172,2.3677819083023546
E02000173,2.1188231933733217
E02000174,2.2652773866516474
E02000175,2.070782084010211
E02000176,1.9510163278907031
E02000177,2.29584017515052
E02000178,2.1157540826128725
E02000179,2.2441130298273158
E02000180,2.224373576309795
E02000181,2.148839690584156
E02000182,2.301654232890042
E02000183,2.0920143686101134
E02000184,2.2540600055050923
E02000185,2.1791594986483167
E02000186,2.059823249490143
E02000187,2.416033534189154
E02000188,2.507171754321442
E02000191,1.7959183673469388
E02000192,2.1191709844559585
E02000193,1.771539206195547
E02000194,2.1539742979533556
E02000195,2.7389063841969654
E02000196,2.766607460035524
E02000197,2.6998191681735983
E02000198,2.523687214611872
E02000199,2.6187207488299533
E02000200,2.2274431392151963
E02000201,2.268586387434555
E02000202,2.903130148270181
E02000203,2.5149086245591534
E02000204,2.9677918860328276
E02000206,2.388440860215054
E02000207,2.496067415730337
E02000208,2.6193265007320643
E02000209,2.950701926216128
E02000210,2.5233536408471133
E02000211,2.5088038858530664
E02000212,2.87434875881091
E02000213,2.351326284548321
E02000214,2.67039586919105
E02000215,2.227255424438523
E02000216,2.3998639918395104
E02000217,2.3722366062537343
E02000218,2.8370905997447893
E02000219,2.525804289544236
E02000221,2.66950852557673
E02000222,2.2721013494904985
E02000223,3.052707063463607
E02000224,2.4399266279425254
E02000225,2.8202331703647987
E02000226,2.6701401365432984
E02000227,2.4110353378797273
E02000228,2.6129032258064515
E02000229,2.7523468931604826
E02000230,2.4164500118175374
E02000231,2.7958515283842793
E02000232,2.6071729957805907
E02000233,2.6
E02000234,2.5110215053763443
E02000235,2.5601503759398496
E02000236,2.750906892382104
E02000237,2.501152453078696
E02000238,2.8587479935794544
E02000239,3.076476613178559
E02000240,2.862422997946612
E02000241,2.834936514043863
E02000242,3.078888390856118
E02000243,2.758312020460358
E02000244,2.678692988427502
E02000245,2.7684053651266765
E02000246,3.0680338541666665
E02000247,2.8116649537512846
E02000248,2.5698996655518394
E02000249,2.8473413379073755
E02000250,2.520440251572327
E02000251,3.2439024390243905
E02000252,2.323502722323049
E02000253,2.6693590411672745
E02000254,3.475862068965517
E02000255,2.55948298601952
E02000256,2.264530551415797
E02000258,2.627978478093774
E02000259,2.7474958263772953
E02000260,3.4529604068289137
E02000261,2.5294354028531245
