MSOA,lone_parent_percent
E02000001,3.559804719283971
E02000002,21.699756182514804
E02000003,15.873823454591706
E02000004,14.032048505846687
E02000005,19.547835676867937
E02000007,22.15568862275449
E02000008,21.181306793595848
E02000009,19.49729856706601
E02000010,21.52088969041178
E02000011,16.355140186915886
E02000012,11.854103343465045
E02000013,20.852499233364
E02000014,20.93297903749631
E02000015,20.33618984838497
E02000016,15.980057727630543
E02000017,11.492591254065774
E02000018,21.923314780457638
E02000019,22.776911076443056
E02000020,17.02673796791444
E02000021,21.331058020477816
E02000022,22.925608011444922
E02000023,23.357116034547502
E02000024,9.446181330951317
E02000025,11.125933831376734
E02000026,10.828025477707007
E02000027,15.947925142392188
E02000028,11.383928571428571
E02000029,15.299514301133296
E02000030,10.943718021603184
E02000031,9.203007518796992
E02000032,10.10211524434719
E02000033,14.710933028048082
E02000034,12.701949860724234
E02000035,10.22083805209513
E02000036,14.111983785153281
E02000037,11.314162859446384
E02000038,13.85421867199201
E02000039,8.7509349289454
E02000040,11.329348135496726
E02000041,13.307299489336136
E02000042,10.199321458863443
E02000043,8.408408408408409
E02000044,18.931247963506028
E02000045,16.892695693552223
E02000046,8.405696422368878
E02000047,20.755165043932557
E02000048,10.301189572260187
E02000049,21.43608627038401
E02000050,14.098116947472745
E02000051,8.832059056156078
E02000052,10.469830670164558
E02000054,10.097610232245035
E02000055,10.945825932504441
E02000056,7.526881720430108
E02000057,10.650887573964498
E02000058,8.201122772760556
E02000059,10.657954033348355
E02000060,7.52571737953438
E02000061,7.166853303471445
E02000062,17.649310872894333
E02000063,14.02331331684917
E02000064,18.030412744388123
E02000065,22.182211019085344
E02000066,20.08462623413258
E02000067,17.996987951807228
E02000068,21.83296840788239
E02000069,14.24511545293073
E02000070,11.14294810569882
E02000071,16.22002820874471
E02000072,21.2108292474952
E02000073,8.9737108190091
E02000074,18.692922374429223
E02000075,9.368053350269927
E02000077,12.210884353741497
E02000078,10.033112582781458
E02000079,11.87621968218567
E02000080,11.891042430591932
E02000081,11.832875876791704
E02000082,10.005800464037124
E02000083,14.195725534308213
E02000084,9.437559580552907
E02000085,11.530944625407166
E02000086,9.544312881234301
E02000087,8.127633955448525
E02000088,9.798657718120806
E02000089,9.463179628355126
E02000090,10.412199189897546
E02000091,9.593349809031679
E02000092,18.268876611418047
E02000093,11.717495987158909
E02000094,13.585232189212576
E02000095,11.149497487437186
E02000096,7.451923076923077
E02000097,11.952584787619362
E02000098,15.598885793871867
E02000099,13.104631217838767
E02000100,9.377431906614786
E02000101,17.3258559622196
E02000102,16.095380029806257
E02000103,18.110918544194107
E02000104,12.743069921390154
E02000105,12.861736334405144
E02000106,16.517857142857142
E02000107,12.379642365887207
E02000108,12.907488986784141
E02000110,10.981912144702841
E02000111,11.947318908748825
E02000112,11.956521739130435
