MSOA,social_housing_percent
E02000001,14.855514855514857
E02000002,41.77700348432056
E02000003,13.282442748091603
E02000004,16.154179298397576
E02000005,25.13781697905182
E02000007,42.21980413492928
E02000008,35.502702702702706
E02000009,34.55571227080395
E02000010,33.61369780714929
E02000011,14.917127071823206
E02000012,12.226277372262775
E02000013,37.05069124423963
E02000014,35.62573789846517
E02000015,47.229551451187334
E02000016,34.46194225721785
E02000017,10.697506324539212
E02000018,37.77846534653465
E02000019,35.59850374064838
E02000020,31.223267750213857
E02000021,20.819112627986346
E02000022,49.15981408652127
E02000023,48.178745775441236
E02000024,7.5307262569832405
E02000025,14.552736982643525
E02000026,5.774591796097173
E02000027,28.955223880597014
E02000028,5.419450631031922
E02000029,9.228278467350243
E02000030,11.224779766979255
E02000031,6.011421701232342
E02000032,3.462099125364432
E02000033,13.36576989124213
E02000034,9.420289855072465
E02000035,10.113314447592069
E02000036,12.645717181956412
E02000037,13.74764595103578
E02000038,10.037453183520599
E02000039,4.268064395357544
E02000040,17.72079772079772
E02000041,10.9107303877367
E02000042,6.805172779308882
E02000043,2.213053263315829
E02000044,27.524429967426713
E02000045,21.22798667301285
E02000046,3.786036818339701
E02000047,31.045130641330164
E02000048,5.291139240506329
E02000049,50.60494476591268
E02000050,25.08676251859197
E02000051,5.379746835443038
E02000052,16.125954198473284
E02000054,6.226859643217772
E02000055,12.08083499888963
E02000056,6.0447544318512065
E02000057,7.837338262476895
E02000058,5.833536734195753
E02000059,16.23815967523681
E02000060,8.414502164502165
E02000061,3.638399104394067
E02000062,27.390971690895178
E02000063,7.868736767819337
E02000064,24.800868935553947
E02000065,28.89048991354467
E02000066,49.027347053848324
E02000067,20.185789605824755
E02000068,29.49279899812148
E02000069,14.4076840981857
E02000070,8.05732484076433
E02000071,14.426807760141095
E02000072,34.40699658703072
E02000073,4.121365360303413
E02000074,36.83609366076528
E02000075,5.7161003493172435
E02000077,10.381211708645337
E02000078,5.360688285903375
E02000079,5.716675962074735
E02000080,6.317169069462647
E02000081,14.181152790484905
E02000082,2.324230098779779
E02000083,18.012143017764785
E02000084,4.310550130983567
E02000085,4.006514657980456
E02000086,1.6140602582496413
E02000087,5.001506477854775
E02000088,3.857765850385777
E02000089,5.370051635111876
E02000090,9.992845218220845
E02000091,14.729030807285811
E02000092,32.16654384672071
E02000093,10.344827586206897
E02000094,15.051903114186851
E02000095,11.341501727929625
E02000096,4.323458767013611
E02000097,10.204081632653061
E02000098,22.36521739130435
E02000099,13.712718546451836
E02000100,10.405300077942323
E02000101,30.67611455565397
E02000102,22.640805669526294
E02000103,25.736568457538993
E02000104,15.320910973084887
E02000105,13.477002251527823
E02000106,18.57222532069158
E02000107,18.592388812471345
E02000108,13.142857142857142
E02000110,21.23464770523594
E02000111,14.124293785310735
E02000112,12.128146453089245
E02000113,58.2547886895713
E02000114,20.323886639676115
E02000115,26.26418988648091
E02000116,34.0129749768304
E02000117,46.69048119352805
E02000118,17.432646592709986
E02000119,53.71963562753036
E02000120,23.82748055621023
E02000121,13.978494623655912
E02000122,18.037974683544302
E02000123,34.68761285662694
E02000124,20.360576923076923
E02000125,20.685279187817258
E02000126,62.08516886930984
E02000127,32.64713644761151
E02000128,11.785830884753508
E02000130,17.504096122337522
E02000131,22.83402407736333
E02000132,13.13233508700931
E02000133,3.465804066543438
E02000134,14.584905660377359
E02000135,46.45190358188781
E02000136,18.91891891891892
E02000137,6.61044613710555
E02000138,3.962309736651365
E02000139,13.564954682779456
E02000140,41.86394965537909
E02000141,13.518758085381629
E02000142,5.471916618413434
E02000144,5.589053803339518
E02000145,33.09618668184405
E02000146,8.219856400099035
E02000147,4.200884396715098
E02000148,7.261948869951834
E02000149,19.549330085261875
E02000150,9.181380417335474
E02000151,2.220726783310902
E02000152,27.228682170542633
E02000153,3.9032815198618307
E02000154,7.864539602574867
