percent_age_10_11,higher_education_percent,average_household_size,unemployment_rate,inactive_rate,nonwhite_percent,overcrowded_percent,lone_parent_percent,long_commute_percent,social_housing_percent,true_obesity,pred_lr,pred_rf,resid_lr,resid_rf,MSOA_code
3.045054375971,28.253448040420597,2.816760106226025,12.263234579893153,33.24691486052058,63.23864814430852,24.963072378138847,25.04424778761062,27.77023971053822,42.21238938053097,33.23442136498516,29.68098054561878,29.362280313923872,3.5534408193663793,3.8721410510612877,E02006793
3.619236489836391,40.84175084175084,2.8854466858789625,10.37854098771622,24.209351358055315,66.00918000248109,16.936936936936934,22.182211019085344,48.598130841121495,28.89048991354467,27.56756756756757,24.44096407387802,27.29606293064384,3.1266034936895473,0.27150463692372995,E02000065
3.307213643696704,27.62338648443432,2.588852262511238,7.468477206595538,28.39378238341969,25.642207118995508,9.580838323353294,19.730134932533733,38.49535906204201,41.86394965537909,21.036585365853657,22.622540442942423,24.020546862089716,-1.5859550770887658,-2.983961496236059,E02000140
2.726946537495515,43.0338733431517,2.4030153667729777,10.954516335682255,25.215208034433285,66.96567396244468,17.99709724238026,22.315728380731283,14.823529411764705,63.09075094230212,25.17241379310345,30.428851504815945,27.775788450840793,-5.256437711712497,-2.6033746577373442,E02000626
2.5948592411260707,29.385764365188237,3.38005965061781,8.795051102743411,34.798041615667074,90.34153507161218,24.46808510638298,12.697060076693653,22.708803611738148,20.4855195911414,22.831050228310502,26.60141935399507,23.50259400364562,-3.7703691256845673,-0.6715437753351168,E02000275
2.32135216089003,52.09896038952494,2.338824125696908,7.43127962085308,24.796573875803,41.28155755241763,11.660329531051964,10.4409528636594,21.878025169409486,23.28940699442473,20.535714285714285,21.449518457916714,21.109858058767497,-0.913804172202429,-0.574143773053212,E02000262
2.465291293629168,40.43195172304272,2.5135311379197915,3.7789940057336464,31.92123332037829,17.301710730948678,1.954397394136808,8.376792698826598,47.91519434628975,6.388526727509778,12.217194570135746,14.704531681146115,12.711306378618929,-2.487337111010369,-0.4941118084831828,E02000163
2.613009922822492,24.933389426447903,2.699362283631946,7.449002979601192,30.535950595500665,22.757859900717044,7.598784194528875,19.13599026467904,40.68040249161476,23.07925903431521,21.933085501858734,22.6279358398573,23.58548664699484,-0.6948503379985667,-1.652401145136107,E02000466
3.761716822890972,29.375810335247262,2.910124724871607,9.558599695585997,26.05207947673701,40.96236890808143,19.81651376146789,17.603822124219036,9.988584474885846,49.39360529217199,28.3132530120482,24.973595334610774,25.66289326848966,3.339657677437426,2.650359743558539,E02000348
3.3707865168539324,26.64243779703662,2.796346211440551,9.728622631848438,34.42935935511243,52.80076384468492,14.97005988023952,26.698593235558217,40.42553191489361,33.67255312780605,26.33451957295373,25.78743769483565,26.517968471232976,0.5470818781180817,-0.18344889827924504,E02000278
2.69185360094451,38.15375393376292,2.525216353327365,8.236117592160523,28.171839962232976,54.62591456219023,12.08955223880597,19.910447761194032,26.824358329139407,33.12444046553268,27.969348659003828,25.814161929650616,24.3770793232592,2.155186729353211,3.5922693357446285,E02000681
2.405308266519215,55.76599798274123,2.3978110341746706,5.720864328728304,30.227838760261967,26.367746102038936,4.581005586592179,9.446181330951315,45.316331535066205,7.53072625698324,12.5,14.793432262681005,15.019830491910623,-2.293432262681005,-2.519830491910623,E02000024
3.071087727884497,38.91968952954221,2.5459375,4.693971468016567,24.110091743119263,30.490639911905053,6.09375,13.097843075961238,28.876461616675144,11.170046801872074,18.94273127753304,19.3690933288593,16.29492603173884,-0.4263620513262616,2.647805245794199,E02000853
1.9049298879971777,56.80522442210013,2.320952185512005,8.21822240826008,21.878862793572317,47.02091976343896,12.320328542094456,10.720887245841034,15.566625155666252,30.281256415520424,22.61904761904762,23.74063335108069,25.982952153154386,-1.1215857320330684,-3.3639045341067657,E02000867
2.422145328719723,47.27896995708154,2.328049175024264,6.614135625596944,22.624809846494266,33.3517775625951,6.623586429725363,13.592233009708735,38.21571238348868,13.518758085381627,21.978021978021975,20.80731710347536,20.06446236614149,1.1707048745466153,1.9135596118804834,E02000141
1.428155056834742,64.81064021641119,2.229193899782135,6.278604118993135,18.268389855213293,36.28679685222967,7.84313725490196,8.783783783783784,20.089485458612977,23.62685265911072,26.89075630252101,21.90284832279969,21.772110890289063,4.987907979721317,5.118645412231945,E02000814
2.304092163686548,56.49045521292217,2.4554187931552085,5.784743028347545,29.63496637848223,37.99807969275084,4.354354354354354,9.203007518796992,41.16022099447514,6.011421701232342,19.875776397515526,15.923494772557817,16.024859358029968,3.9522816249577097,3.8509170394855587,E02000031
2.5921299188007496,41.579484562388366,2.5102260495156083,11.545538178472862,36.32011655739411,62.82384767453959,21.50537634408602,21.382463690156,10.766721044045676,57.90322580645161,27.747252747252748,28.26020228673677,26.164110581442987,-0.5129495394840227,1.583142165809761,E02000969
2.0699046754425785,58.97748696905845,2.4494960806271,7.619619019049048,21.36627906976744,51.26294748319099,11.210762331838566,9.07461348868474,18.06420699568759,21.10687878108895,26.31578947368421,21.94227788692124,22.568830736180708,4.3735115867629695,3.746958737503501,E02000894
2.2657387926849006,52.78506559031282,2.413603302535876,6.452572108236694,25.723758693191005,38.38751415170629,7.669616519174041,11.44767899291896,40.01699235344095,24.341329138812423,24.21875,19.646265334369485,19.11769382197398,4.572484665630515,5.10105617802602,E02006927
1.948051948051948,27.31516337900918,2.294354838709677,5.751888861808433,31.772199325590112,14.84443333749844,4.755043227665706,11.708860759493673,43.822714681440445,13.532968615030232,16.267942583732058,20.62792298801389,18.466475265515502,-4.359980404281831,-2.198532681783444,E02000483
