MSOA,number_measured,number_obese,obesity_rate
E02000055,227.0,39.0,17.180616740088105
E02000056,142.0,16.0,11.267605633802818
E02000057,208.0,32.0,15.384615384615385
E02000058,229.0,34.0,14.847161572052403
E02000059,246.0,46.0,18.69918699186992
E02000060,312.0,46.0,14.743589743589745
E02000061,94.0,8.0,8.51063829787234
E02000062,191.0,38.0,19.895287958115183
E02000063,173.0,33.0,19.07514450867052
E02000064,122.0,22.0,18.0327868852459
E02000065,370.0,102.0,27.56756756756757
E02000066,411.0,109.0,26.520681265206814
E02000067,327.0,87.0,26.605504587155966
E02000068,286.0,83.0,29.02097902097902
E02000069,182.0,62.0,34.065934065934066
E02000070,233.0,52.0,22.317596566523605
E02000071,289.0,72.0,24.91349480968858
E02000072,459.0,106.0,23.093681917211327
E02000073,402.0,93.0,23.134328358208954
E02000074,273.0,77.0,28.205128205128204
E02000075,231.0,44.0,19.047619047619047
E02000077,296.0,68.0,22.972972972972975
E02000078,248.0,54.0,21.774193548387096
E02000079,197.0,25.0,12.690355329949238
E02000080,304.0,78.0,25.657894736842106
E02000081,223.0,61.0,27.3542600896861
E02000082,280.0,62.0,22.142857142857142
E02000083,326.0,60.0,18.404907975460123
E02000084,263.0,41.0,15.5893536121673
E02000085,198.0,39.0,19.696969696969695
E02000086,215.0,44.0,20.46511627906977
E02000087,223.0,32.0,14.349775784753364
E02000088,115.0,24.0,20.869565217391305
E02000089,261.0,47.0,18.007662835249043
E02000090,152.0,24.0,15.789473684210526
E02000091,221.0,46.0,20.81447963800905
E02000092,202.0,57.0,28.217821782178216
E02006785,202.0,49.0,24.257425742574256
E02000093,304.0,63.0,20.723684210526315
E02000094,280.0,66.0,23.57142857142857
E02000095,280.0,65.0,23.214285714285715
E02000096,178.0,33.0,18.53932584269663
E02000097,296.0,68.0,22.972972972972975
E02000098,260.0,65.0,25.0
E02000099,296.0,70.0,23.64864864864865
E02000100,223.0,48.0,21.524663677130047
E02000101,286.0,75.0,26.223776223776223
E02000102,351.0,76.0,21.65242165242165
E02000103,333.0,73.0,21.92192192192192
E02000104,174.0,42.0,24.137931034482758
E02000105,237.0,56.0,23.628691983122362
E02000106,345.0,105.0,30.434782608695656
E02000107,222.0,44.0,19.81981981981982
E02000108,215.0,52.0,24.186046511627907
E02000109,284.0,78.0,27.464788732394368
E02000110,180.0,42.0,23.333333333333332
E02000111,304.0,67.0,22.039473684210524
E02000112,271.0,70.0,25.830258302583026
E02000113,416.0,114.0,27.403846153846157
E02000114,209.0,58.0,27.751196172248804
E02000115,131.0,38.0,29.00763358778626
E02000116,275.0,66.0,24.0
E02000117,474.0,134.0,28.270042194092827
E02000118,320.0,62.0,19.375
E02000119,324.0,82.0,25.308641975308642
E02000120,146.0,30.0,20.54794520547945
E02000121,315.0,58.0,18.412698412698415
E02000122,191.0,39.0,20.418848167539267
E02000123,512.0,159.0,31.0546875
E02000124,202.0,36.0,17.82178217821782
E02000125,247.0,45.0,18.218623481781375
E02000126,300.0,85.0,28.333333333333332
E02000127,318.0,74.0,23.270440251572328
E02000128,222.0,33.0,14.864864864864865
E02000130,204.0,43.0,21.07843137254902
E02000131,185.0,45.0,24.324324324324326
E02000132,112.0,18.0,16.071428571428573
E02000133,155.0,21.0,13.548387096774196
E02000134,190.0,23.0,12.105263157894736
E02000135,312.0,87.0,27.884615384615387
E02000136,133.0,21.0,15.789473684210526
E02000137,118.0,15.0,12.711864406779661
E02000138,107.0,12.0,11.214953271028037
E02000139,170.0,25.0,14.705882352941178
E02000140,328.0,69.0,21.036585365853657
E02000141,182.0,40.0,21.978021978021978
E02000142,227.0,26.0,11.45374449339207
E02000144,183.0,34.0,18.579234972677597
E02000145,300.0,73.0,24.333333333333336
E02000146,229.0,41.0,17.903930131004365
E02000147,262.0,29.0,11.068702290076336
E02000148,165.0,18.0,10.909090909090908
E02000149,259.0,50.0,19.305019305019304
E02000150,297.0,41.0,13.804713804713806
E02000151,153.0,14.0,9.15032679738562
E02000152,240.0,35.0,14.583333333333334
E02000153,311.0,34.0,10.932475884244374
E02000154,196.0,22.0,11.224489795918368
E02000155,180.0,34.0,18.88888888888889
E02000156,366.0,49.0,13.387978142076504
E02000157,278.0,37.0,13.309352517985612
E02000158,267.0,56.0,20.973782771535582
E02000159,203.0,38.0,18.7192118226601
E02000160,304.0,32.0,10.526315789473683
E02000161,276.0,31.0,11.231884057971014
E02000162,210.0,38.0,18.095238095238095
E02000163,221.0,27.0,12.217194570135746
E02000165,235.0,31.0,13.191489361702127
E02006782,233.0,40.0,17.167381974248926
E02006787,212.0,32.0,15.09433962264151
E02006789,167.0,24.0,14.37125748502994
E02000166,164.0,25.0,15.24390243902439
E02000168,171.0,24.0,14.035087719298245
E02000170,103.0,13.0,12.62135922330097
E02000171,148.0,29.0,19.594594594594593
E02000172,337.0,87.0,25.816023738872403
E02000174,234.0,46.0,19.65811965811966
E02000175,127.0,23.0,18.11023622047244
E02000177,257.0,65.0,25.291828793774318
E02000178,169.0,42.0,24.85207100591716
E02000179,154.0,28.0,18.181818181818183
E02000180,172.0,36.0,20.930232558139537
E02000181,91.0,19.0,20.87912087912088
E02000182,102.0,21.0,20.588235294117645
E02000183,119.0,15.0,12.605042016806722
E02000184,225.0,54.0,24.0
E02000185,249.0,55.0,22.08835341365462
E02000186,85.0,10.0,11.76470588235294
