MSOA,number_measured,number_obese,obesity_rate
E02000683,213.0,52.0,24.413145539906104
E02000685,255.0,71.0,27.84313725490196
E02000686,236.0,67.0,28.389830508474578
E02000687,196.0,53.0,27.040816326530614
E02006783,332.0,102.0,30.72289156626506
E02006784,263.0,57.0,21.673003802281368
E02006798,227.0,62.0,27.312775330396477
E02000689,143.0,15.0,10.48951048951049
E02000691,119.0,17.0,14.285714285714285
E02000693,121.0,16.0,13.223140495867769
E02000694,147.0,28.0,19.047619047619047
E02000695,214.0,56.0,26.168224299065418
E02000696,221.0,54.0,24.43438914027149
E02000697,156.0,21.0,13.461538461538462
E02000698,125.0,11.0,8.799999999999999
E02000699,142.0,8.0,5.633802816901409
E02000700,245.0,55.0,22.448979591836736
E02000701,282.0,77.0,27.30496453900709
E02000702,275.0,84.0,30.545454545454547
E02000703,202.0,22.0,10.891089108910892
E02000704,164.0,34.0,20.73170731707317
E02000705,268.0,53.0,19.776119402985074
E02000706,315.0,73.0,23.174603174603174
E02000707,319.0,84.0,26.332288401253916
E02000708,262.0,48.0,18.3206106870229
E02000709,214.0,43.0,20.093457943925234
E02000710,251.0,65.0,25.89641434262948
E02000711,285.0,67.0,23.50877192982456
E02000712,326.0,70.0,21.472392638036812
E02000713,231.0,43.0,18.614718614718615
E02000714,269.0,63.0,23.42007434944238
E02000715,300.0,80.0,26.666666666666668
E02000716,242.0,60.0,24.793388429752067
E02000717,360.0,93.0,25.833333333333336
E02000718,340.0,93.0,27.35294117647059
E02000719,206.0,58.0,28.155339805825243
E02000720,201.0,55.0,27.363184079601986
E02000721,352.0,86.0,24.431818181818183
E02000722,187.0,54.0,28.87700534759358
E02000723,349.0,88.0,25.214899713467048
E02000724,368.0,90.0,24.456521739130434
E02000725,187.0,41.0,21.92513368983957
E02000726,286.0,68.0,23.776223776223777
E02000727,259.0,69.0,26.640926640926644
E02000728,293.0,70.0,23.890784982935152
E02000729,214.0,39.0,18.22429906542056
E02000730,252.0,47.0,18.650793650793652
E02000731,344.0,88.0,25.581395348837212
E02000732,305.0,81.0,26.557377049180324
E02000733,344.0,100.0,29.069767441860467
E02000734,266.0,67.0,25.18796992481203
E02000735,241.0,53.0,21.991701244813278
E02000736,394.0,102.0,25.888324873096447
E02000737,425.0,109.0,25.647058823529413
E02000738,366.0,108.0,29.508196721311474
E02000739,229.0,67.0,29.257641921397383
E02000740,245.0,69.0,28.163265306122447
E02000741,282.0,76.0,26.95035460992908
E02000742,347.0,94.0,27.089337175792505
E02000743,307.0,97.0,31.596091205211724
E02000744,292.0,89.0,30.47945205479452
E02000745,298.0,70.0,23.48993288590604
E02000746,223.0,50.0,22.421524663677133
E02000747,331.0,83.0,25.075528700906347
E02000748,191.0,39.0,20.418848167539267
E02000749,337.0,97.0,28.783382789317507
E02000750,303.0,95.0,31.353135313531354
E02000751,203.0,25.0,12.31527093596059
E02000752,271.0,81.0,29.88929889298893
E02000753,241.0,53.0,21.991701244813278
E02000754,220.0,36.0,16.363636363636363
E02000755,149.0,30.0,20.13422818791946
E02000756,408.0,108.0,26.47058823529412
E02000757,282.0,44.0,15.602836879432624
E02000758,224.0,61.0,27.232142857142854
E02000759,437.0,93.0,21.28146453089245
E02000760,290.0,74.0,25.517241379310345
E02000762,200.0,51.0,25.5
E02000763,273.0,58.0,21.245421245421245
E02000764,203.0,28.0,13.793103448275861
E02000765,223.0,40.0,17.937219730941703
E02000767,259.0,56.0,21.62162162162162
E02000768,124.0,28.0,22.58064516129032
E02000769,555.0,152.0,27.387387387387385
E02000770,367.0,72.0,19.618528610354225
E02000772,328.0,83.0,25.304878048780488
E02000773,433.0,107.0,24.71131639722864
E02000774,300.0,81.0,27.0
E02000776,236.0,55.0,23.30508474576271
E02000777,188.0,30.0,15.957446808510639
E02000779,216.0,56.0,25.925925925925924
E02000780,594.0,124.0,20.875420875420875
E02000781,558.0,129.0,23.118279569892472
E02000782,383.0,103.0,26.89295039164491
E02000783,325.0,79.0,24.307692307692307
E02006800,489.0,110.0,22.494887525562373
E02006924,402.0,75.0,18.65671641791045
E02006925,566.0,131.0,23.14487632508834
E02000784,116.0,17.0,14.655172413793101
E02000785,140.0,10.0,7.142857142857142
E02000786,203.0,23.0,11.330049261083744
E02000787,263.0,38.0,14.44866920152091
E02000788,215.0,20.0,9.30232558139535
E02000789,97.0,13.0,13.402061855670103
E02000790,135.0,11.0,8.148148148148149
E02000793,228.0,34.0,14.912280701754385
E02000794,170.0,18.0,10.588235294117647
E02000795,142.0,13.0,9.15492957746479
E02000796,323.0,61.0,18.885448916408667
E02000797,120.0,17.0,14.166666666666666
E02000798,361.0,39.0,10.80332409972299
E02000799,140.0,8.0,5.714285714285714
E02000800,155.0,21.0,13.548387096774196
E02000801,157.0,15.0,9.554140127388536
E02000802,183.0,13.0,7.103825136612022
E02000803,233.0,46.0,19.742489270386265
E02000804,192.0,12.0,6.25
E02000805,276.0,28.0,10.144927536231885
E02000806,192.0,28.0,14.583333333333334
E02000807,107.0,21.0,19.626168224299064
E02000808,107.0,19.0,17.75700934579439
E02000809,127.0,33.0,25.984251968503933
E02000810,218.0,60.0,27.522935779816514
E02000812,224.0,50.0,22.321428571428573
E02000813,198.0,60.0,30.303030303030305
E02000814,119.0,32.0,26.89075630252101
E02000815,106.0,24.0,22.641509433962266
E02000816,205.0,53.0,25.853658536585368
E02000817,169.0,57.0,33.72781065088758
E02000818,185.0,67.0,36.21621621621622
E02000819,231.0,77.0,33.33333333333333
E02000820,212.0,54.0,25.471698113207548
E02000821,292.0,96.0,32.87671232876712
E02000822,238.0,69.0,28.991596638655466
E02000823,217.0,66.0,30.414746543778804
E02000824,359.0,104.0,28.969359331476323
E02000825,329.0,96.0,29.17933130699088
E02000826,263.0,75.0,28.517110266159694
E02000827,331.0,102.0,30.815709969788518
E02000828,262.0,88.0,33.587786259541986
E02000829,267.0,70.0,26.217228464419474
E02000830,143.0,34.0,23.776223776223777
E02000831,194.0,52.0,26.804123711340207
E02000832,307.0,83.0,27.035830618892508
E02000833,189.0,53.0,28.04232804232804
E02000834,131.0,24.0,18.3206106870229
E02000835,198.0,44.0,22.22222222222222
E02000836,189.0,27.0,14.285714285714285
E02000837,181.0,23.0,12.70718232044199
E02000838,219.0,39.0,17.80821917808219
E02000839,154.0,45.0,29.22077922077922
E02006802,154.0,38.0,24.675324675324674
E02000840,308.0,71.0,23.051948051948052
E02000841,344.0,88.0,25.581395348837212
E02000842,251.0,54.0,21.51394422310757
E02000843,168.0,41.0,24.404761904761905
E02000844,287.0,74.0,25.78397212543554
E02000845,268.0,32.0,11.940298507462686
E02000846,219.0,42.0,19.17808219178082
E02000847,247.0,42.0,17.00404858299595
E02000848,310.0,50.0,16.129032258064516
E02000849,218.0,36.0,16.51376146788991
E02000850,343.0,70.0,20.408163265306122
E02000851,214.0,48.0,22.429906542056074
E02000852,206.0,32.0,15.53398058252427
E02000853,227.0,43.0,18.94273127753304
E02000854,194.0,27.0,13.917525773195877
E02000855,245.0,35.0,14.285714285714285
E02000856,217.0,35.0,16.129032258064516
E02000857,142.0,26.0,18.30985915492958
E02000858,304.0,76.0,25.0
E02000859,184.0,40.0,21.73913043478261
E02000860,166.0,33.0,19.879518072289155
E02000861,178.0,25.0,14.04494382022472
E02000863,156.0,26.0,16.666666666666664
E02006836,178.0,24.0,13.48314606741573
E02000864,244.0,69.0,28.278688524590162
E02000865,245.0,66.0,26.93877551020408
E02000866,229.0,47.0,20.52401746724891
E02000867,252.0,57.0,22.61904761904762
E02000868,178.0,46.0,25.842696629213485
E02000869,138.0,35.0,25.36231884057971
E02000870,189.0,45.0,23.809523809523807
E02000871,380.0,98.0,25.789473684210527
E02000872,202.0,57.0,28.217821782178216
E02000873,249.0,54.0,21.686746987951807
E02000874,239.0,62.0,25.94142259414226
E02000875,429.0,106.0,24.708624708624708
E02000876,186.0,47.0,25.268817204301076
E02000877,415.0,129.0,31.08433734939759
E02000878,239.0,58.0,24.267782426778243
E02000879,250.0,58.0,23.200000000000003
E02000880,193.0,56.0,29.015544041450774
E02000881,360.0,91.0,25.27777777777778
E02000882,360.0,100.0,27.77777777777778
E02000883,349.0,83.0,23.78223495702006
E02000884,214.0,54.0,25.233644859813083
E02000885,257.0,67.0,26.07003891050584
E02000886,173.0,44.0,25.43352601156069
E02000887,355.0,96.0,27.042253521126757
E02000888,240.0,66.0,27.500000000000004
E02000889,151.0,29.0,19.205298013245034
E02000890,54.0,6.0,11.11111111111111
E02000891,277.0,71.0,25.63176895306859
E02000893,173.0,47.0,27.167630057803464
E02000894,152.0,40.0,26.31578947368421
E02006853,195.0,56.0,28.717948717948715
E02006854,79.0,14.0,17.72151898734177
E02000895,234.0,48.0,20.51282051282051
E02000896,227.0,37.0,16.299559471365637
E02000897,269.0,50.0,18.587360594795538
E02000898,258.0,41.0,15.891472868217054
E02000899,214.0,47.0,21.962616822429908
E02000900,308.0,82.0,26.623376623376622
E02000901,350.0,62.0,17.71428571428571
E02000902,291.0,75.0,25.773195876288657
E02000903,401.0,106.0,26.433915211970078
E02000904,282.0,53.0,18.79432624113475
E02000905,327.0,78.0,23.853211009174313
E02000906,337.0,81.0,24.03560830860534
E02000907,383.0,107.0,27.93733681462141
E02000908,321.0,76.0,23.67601246105919
E02000909,245.0,53.0,21.63265306122449
E02000910,294.0,68.0,23.12925170068027
E02000911,307.0,76.0,24.7557003257329
E02000912,334.0,88.0,26.34730538922156
E02000913,252.0,55.0,21.825396825396826
E02000914,353.0,96.0,27.19546742209632
E02000915,198.0,35.0,17.67676767676768
E02000916,305.0,66.0,21.639344262295083
E02000917,223.0,53.0,23.766816143497756
E02000918,239.0,50.0,20.920502092050206
E02000919,200.0,64.0,32.0
E02000920,293.0,70.0,23.890784982935152
E02000921,377.0,95.0,25.198938992042443
E02000922,299.0,70.0,23.411371237458194
E02000923,82.0,21.0,25.609756097560975
E02000924,225.0,58.0,25.77777777777778
E02000925,222.0,56.0,25.225225225225223
E02000926,115.0,31.0,26.956521739130434
E02000927,101.0,27.0,26.732673267326735
E02000928,123.0,18.0,14.634146341463413
E02000929,238.0,63.0,26.47058823529412
E02000930,81.0,18.0,22.22222222222222
E02000931,86.0,12.0,13.953488372093023
E02000932,78.0,11.0,14.102564102564102
E02000933,115.0,22.0,19.130434782608695
E02000934,82.0,16.0,19.51219512195122
E02000935,188.0,46.0,24.46808510638298
E02000936,104.0,20.0,19.230769230769234
E02000937,132.0,13.0,9.848484848484848
E02000938,233.0,50.0,21.45922746781116
E02000939,121.0,7.0,5.785123966942149
E02000940,194.0,47.0,24.22680412371134
E02000941,143.0,20.0,13.986013986013987
E02000942,191.0,15.0,7.853403141361256
E02000943,95.0,22.0,23.157894736842106
E02000944,223.0,54.0,24.2152466367713
E02000945,212.0,42.0,19.81132075471698
E02000946,158.0,39.0,24.68354430379747
E02000947,141.0,17.0,12.056737588652481
E02000948,140.0,23.0,16.428571428571427
E02000949,94.0,16.0,17.02127659574468
E02000950,165.0,33.0,20.0
E02000951,109.0,19.0,17.431192660550458
E02000952,85.0,17.0,20.0
E02000953,92.0,21.0,22.82608695652174
E02000954,171.0,35.0,20.46783625730994
E02000955,203.0,45.0,22.167487684729064
E02000956,180.0,40.0,22.22222222222222
E02000957,244.0,48.0,19.672131147540984
E02000958,311.0,51.0,16.39871382636656
E02000959,204.0,47.0,23.03921568627451
E02000960,51.0,8.0,15.686274509803921
E02000961,177.0,37.0,20.903954802259886
E02000962,111.0,27.0,24.324324324324326
E02000963,352.0,99.0,28.125
E02000964,347.0,105.0,30.25936599423631
E02000965,107.0,28.0,26.168224299065418
E02000966,91.0,20.0,21.978021978021978
E02000967,51.0,9.0,17.647058823529413
E02000968,566.0,146.0,25.795053003533567
E02000969,364.0,101.0,27.747252747252748
E02000971,63.0,25.0,39.682539682539684
E02000972,61.0,15.0,24.59016393442623
E02000973,104.0,25.0,24.03846153846154
E02000974,80.0,18.0,22.5
E02000976,112.0,26.0,23.214285714285715
E02000979,81.0,18.0,22.22222222222222
E02000980,184.0,52.0,28.26086956521739
E02000981,75.0,19.0,25.333333333333336
E02000982,202.0,53.0,26.237623762376238
E02000983,185.0,52.0,28.10810810810811
E09000001,56.0,13.0,23.214285714285715
E09000002,7233.0,1887.0,26.08875985068436
E09000003,9185.0,1711.0,18.628198149156233
E09000004,7389.0,1698.0,22.98010556232237
E09000005,9381.0,2264.0,24.133887645240378
E09000006,8710.0,1412.0,16.21125143513203
E09000007,4187.0,896.0,21.39957009792214
E09000008,10839.0,2411.0,22.24374942337854
E09000009,10087.0,2257.0,22.375334589075045
E09000010,10379.0,2546.0,24.53030157047885
E09000011,7762.0,1928.0,24.83895903117753
E09000012,6535.0,1685.0,25.784238714613615
E09000013,3307.0,773.0,23.3746598125189
E09000014,6866.0,1601.0,23.31779784445092
E09000015,6390.0,1304.0,20.406885758998435
E09000016,7085.0,1431.0,20.197600564573044
E09000017,8807.0,1782.0,20.23390484841603
E09000018,7477.0,1765.0,23.60572422094423
E09000019,4260.0,950.0,22.300469483568076
E09000020,1937.0,418.0,21.579762519359836
E09000021,4268.0,687.0,16.096532333645737
E09000022,7303.0,1766.0,24.181843078187047
E09000023,7775.0,1909.0,24.55305466237942
E09000024,5086.0,1047.0,20.58592213920566
E09000025,10735.0,2788.0,25.971122496506755
E09000026,9947.0,2253.0,22.650045239770787
E09000027,4239.0,495.0,11.67728237791932
E09000028,6825.0,1835.0,26.886446886446887
E09000029,5574.0,1070.0,19.19626838894869
E09000030,7646.0,1954.0,25.55584619408841
E09000031,8121.0,1882.0,23.174485900751137
E09000032,5681.0,1140.0,20.066889632107024
E09000033,3511.0,910.0,25.918541726003987
E12000001,74583.0,15955.0,21.392274378879904
E12000002,204262.0,40321.0,19.739843925938256
E12000003,152571.0,29238.0,19.163536976227462
E12000004,128416.0,23452.0,18.262521804136554
E12000005,167615.0,35155.0,20.97365987530949
E12000006,166051.0,28503.0,17.165208279384046
E12000007,224527.0,50455.0,22.471684919853736
E12000008,232514.0,37899.0,16.29966367616574
E12000009,136873.0,22710.0,16.592023262440364
E92000001,1487412.0,283688.0,19.07259051291774
