MSOA,overcrowded_percent
E02000001,4.776422764227642
E02000002,16.376306620209057
E02000003,14.631043256997456
E02000004,8.24295010845987
E02000005,15.702479338842975
E02000007,15.918367346938775
E02000008,16.450216450216452
E02000009,18.44888366627497
E02000010,16.366366366366368
E02000011,14.437367303609342
E02000012,17.17325227963526
E02000013,15.821812596006144
E02000014,16.371681415929203
E02000015,18.646864686468646
E02000016,25.098554533508544
E02000017,22.382671480144403
E02000018,18.238021638330757
E02000019,17.160686427457097
E02000020,18.629550321199144
E02000021,16.89419795221843
E02000022,26.118067978533094
E02000023,21.428571428571427
E02000024,4.581005586592179
E02000025,6.684491978609626
E02000026,4.3737574552683895
E02000027,8.005427408412483
E02000028,6.679035250463822
E02000029,7.827260458839406
E02000030,4.261363636363636
E02000031,4.354354354354354
E02000032,3.4671532846715327
E02000033,7.582260371959943
E02000034,8.647140864714087
E02000035,7.5177304964539005
E02000036,10.26615969581749
E02000037,8.198924731182796
E02000038,8.489388264669163
E02000039,7.289719626168225
E02000040,6.552706552706552
E02000041,13.533834586466165
E02000042,10.604453870625663
E02000043,4.119850187265917
E02000044,15.98694942903752
E02000045,11.17717003567182
E02000046,8.17391304347826
E02000047,20.783847980997624
E02000048,5.949367088607595
E02000049,19.342105263157894
E02000050,10.161090458488228
E02000051,7.519788918205805
E02000052,6.682577565632458
E02000054,11.447811447811448
E02000055,12.749445676274945
E02000056,3.0523255813953485
E02000057,9.814814814814815
E02000058,5.121951219512195
E02000059,14.656144306651633
E02000060,9.34959349593496
E02000061,5.322128851540616
E02000062,16.091954022988507
E02000063,11.46384479717813
E02000064,10.507246376811594
E02000065,16.936936936936934
E02000066,13.399153737658676
E02000067,11.91969887076537
E02000068,12.519561815336463
E02000069,7.104795737122557
E02000070,4.777070063694268
E02000071,5.830388692579505
E02000072,12.57995735607676
E02000073,3.535353535353535
E02000074,9.428571428571429
E02000075,2.2222222222222223
E02000077,5.442176870748299
E02000078,3.47682119205298
E02000079,4.463040446304045
E02000080,5.118110236220472
E02000081,4.420731707317073
E02000082,3.9187227866473147
E02000083,5.968468468468469
E02000084,2.976190476190476
E02000085,4.390243902439024
E02000086,2.3297491039426523
E02000087,2.2590361445783134
E02000088,2.684563758389262
E02000089,1.8900343642611683
E02000090,4.410011918951132
E02000091,3.262092238470191
E02000092,6.998158379373849
E02000093,14.973262032085561
E02000094,15.584415584415584
E02000095,17.582417582417584
E02000096,8.799999999999999
E02000097,14.802631578947366
E02000098,14.26086956521739
E02000099,21.269296740994854
E02000100,11.500974658869396
E02000101,19.35007385524372
E02000102,19.73929236499069
E02000103,17.316017316017316
E02000104,15.702479338842975
E02000105,21.09500805152979
E02000106,19.246861924686193
E02000107,13.646788990825687
E02000108,20.26431718061674
E02000110,11.003236245954692
E02000111,27.74294670846395
E02000112,24.74964234620887
E02000113,23.10030395136778
E02000114,13.746630727762804
E02000115,12.258064516129032
E02000116,19.938176197836167
E02000117,19.432773109243698
E02000118,28.526148969889064
E02000119,19.469026548672566
E02000120,10.365135453474677
E02000121,27.310344827586206
E02000122,8.702531645569621
E02000123,17.073170731707318
E02000124,8.413461538461538
E02000125,8.745247148288973
E02000126,16.715542521994134
E02000127,8.45442536327609
E02000128,3.4257748776508974
E02000130,5.729877216916781
E02000131,8.481262327416173
E02000132,6.0728744939271255
E02000133,1.3856812933025404
E02000134,6.509433962264151
E02000135,11.698537682789652
E02000136,4.793028322440087
E02000137,3.9509536784741144
E02000138,2.418379685610641
E02000139,4.084720121028744
E02000140,9.580838323353294
E02000141,6.623586429725363
E02000142,3.61794500723589
E02000144,4.988399071925754
E02000145,9.686609686609685
E02000146,4.084158415841585
E02000147,2.527646129541864
E02000148,1.8518518518518516
E02000149,5.32724505327245
E02000150,2.8846153846153846
E02000151,1.1784511784511784
E02000152,5.492730210016155
E02000153,2.072538860103627
E02000154,3.7762237762237763
E02000155,3.776683087027915
E02000156,2.158273381294964
E02000157,1.0687022900763359
E02000158,4.7775947281713345
E02000159,1.592920353982301
E02000160,2.4671052631578947
E02000161,1.6467065868263475
E02000162,2.7027027027027026
E02000163,1.9543973941368076
E02000165,2.185792349726776
E02000166,7.52212389380531
E02000167,2.666666666666667
E02000168,6.294706723891273
E02000169,3.9669421487603307
E02000170,6.0606060606060606
E02000171,6.306306306306306
E02000172,14.745972738537795
E02000173,4.714285714285714
E02000174,10.56338028169014
E02000175,6.852497096399536
E02000176,3.0
E02000177,12.99589603283174
E02000178,12.709832134292565
E02000179,9.019607843137255
E02000180,10.81081081081081
E02000181,5.725699067909454
E02000182,8.26580226904376
E02000183,6.906077348066299
E02000184,12.396694214876034
E02000185,14.496314496314497
E02000186,8.31918505942275
E02000187,18.479685452162517
E02000188,19.88950276243094
E02000191,6.88836104513064
E02000192,12.944983818770226
E02000193,6.924315619967794
E02000194,8.085612366230679
E02000195,8.022922636103152
E02000196,13.47517730496454
E02000197,12.97134238310709
E02000198,13.247863247863249
E02000199,9.968847352024921
E02000200,9.625
E02000201,15.072083879423328
E02000202,13.179571663920923
E02000203,15.544871794871796
E02000204,15.968992248062017
E02000206,15.22956326987682
E02000207,11.51685393258427
E02000208,20.975609756097562
E02000209,15.849673202614378
E02000210,8.99854862119013
E02000211,3.0395136778115504
E02000212,18.83614088820827
