MSOA,nonwhite_percent
E02000001,30.626747437092266
E02000002,51.183289060613376
E02000003,59.334373374935
E02000004,37.14242697982535
E02000005,55.62674848840358
E02000007,48.99645808736718
E02000008,45.38252602987777
E02000009,55.939054726368155
E02000010,42.73666455829644
E02000011,48.35680751173709
E02000012,74.13553431798437
E02000013,43.69613788700926
E02000014,39.710056772100565
E02000015,51.89596499756928
E02000016,72.56813020439061
E02000017,68.25049266476898
E02000018,47.87479061976549
E02000019,47.86254010971949
E02000020,64.32332432047816
E02000021,54.54752938491384
E02000022,69.82034380250744
E02000023,67.54396906573531
E02000024,26.367746102038936
E02000025,29.731934731934732
E02000026,30.25236104660164
E02000027,38.899253731343286
E02000028,36.16891064871481
E02000029,34.359822258964556
E02000030,34.92600422832981
E02000031,37.99807969275084
E02000032,41.131267321743515
E02000033,37.782525581918364
E02000034,35.74650676642095
E02000035,40.494608532583214
E02000036,44.9928850942725
E02000037,44.311156224047245
E02000038,39.97014368352305
E02000039,36.28627232142857
E02000040,45.16411378555799
E02000041,46.61518933784642
E02000042,47.74634483951899
E02000043,45.95165764099855
E02000044,51.492874915177566
E02000045,40.269859369061194
E02000046,38.856978747846064
E02000047,57.465515850609016
E02000048,43.08365758754864
E02000049,63.663121914166354
E02000050,41.840963855421684
E02000051,39.20069884254204
E02000052,32.07106598984771
E02000054,47.37118132948735
E02000055,39.467849223946786
E02000056,30.084328113021574
E02000057,32.05288101771015
E02000058,31.208447399296052
E02000059,53.5907800808463
E02000060,30.383251146292935
E02000061,38.2099209202013
E02000062,57.58620689655173
E02000063,54.365602743339494
E02000064,46.03174603174603
E02000065,66.00918000248109
E02000066,54.899257688229056
E02000067,41.47104851330204
E02000068,47.01565557729941
E02000069,38.70252287219296
E02000070,27.675049309664697
E02000071,25.78206465067779
E02000072,45.75628626692457
E02000073,27.533799533799534
E02000074,30.274297324754485
E02000075,20.69397469622949
E02000077,30.212556825162796
E02000078,19.218158890290038
E02000079,23.742730071843994
E02000080,30.898429735639038
E02000081,21.51197785000602
E02000082,23.05549603599743
E02000083,23.054397018368977
E02000084,22.540282653704207
E02000085,16.323455549974884
E02000086,12.841225626740945
