MSOA,percent_age_10_11
E02000001,1.0723860589812333
E02000002,3.924646781789639
E02000003,2.5458953931416697
E02000004,2.3641017918988103
E02000005,3.4006855493415116
E02000007,3.58161960051166
E02000008,3.662035638779825
E02000009,3.863194714341236
E02000010,3.1744357730436614
E02000011,2.915659223439056
E02000012,3.1706045865184156
E02000013,3.503727369542066
E02000014,3.447576556479416
E02000015,3.598784194528876
E02000016,2.971233913701741
E02000017,2.463863337713535
E02000018,3.298429319371728
E02000019,3.373344370860927
E02000020,3.49267321098307
E02000021,3.8220193953223047
E02000022,3.3199844981268574
E02000023,4.2134131139366735
E02000024,2.405308266519215
E02000025,2.1658127619934793
E02000026,2.443550881534179
E02000027,2.4779678589942975
E02000028,2.38495642868063
E02000029,2.6462683481496794
E02000030,2.453209262979803
E02000031,2.3040921636865477
E02000032,2.8316133903850993
E02000033,2.9040972534894194
E02000034,2.5440528634361232
E02000035,2.461322081575246
E02000036,2.7733333333333334
E02000037,3.3632079829991683
E02000038,2.8446185413169185
E02000039,2.8611304954640615
E02000040,2.537737912929337
E02000041,2.8553299492385786
E02000042,2.378481231620827
E02000043,3.0286999074196537
E02000044,3.0779676360755914
E02000045,2.83869742713377
E02000046,2.311889718552556
E02000047,2.9826682789197907
E02000048,2.5875486381322954
E02000049,3.1327131194228213
E02000050,2.8436475804896855
E02000051,2.423580786026201
E02000052,2.469261253937608
E02000054,2.570828961175236
E02000055,2.69417682666894
E02000056,2.739425816348893
E02000057,3.406963684013478
E02000058,2.5718756111871697
E02000059,2.0894239036973348
E02000060,3.8478166882836145
E02000061,2.3957834211787254
E02000062,3.083321382475262
E02000063,2.476290832455216
E02000064,2.4517865151741662
E02000065,3.619236489836391
E02000066,3.2435870256518973
E02000067,2.5883961711271732
E02000068,3.4250764525993884
E02000069,2.620995701012342
E02000070,2.381539980256663
E02000071,3.0618892508143323
E02000072,3.3921933085501856
E02000073,2.375850181682661
E02000074,2.991645969744863
E02000075,2.2772772772772774
E02000077,2.466560314148975
E02000078,2.3320307575948567
E02000079,2.4726526891522336
E02000080,2.602821378899265
E02000081,2.5048169556840074
E02000082,2.873686467939095
E02000083,2.8487752928647496
E02000084,2.867931313494561
E02000085,2.665660756947064
E02000086,2.648452746027321
E02000087,2.4232830004870918
E02000088,2.4522457408363447
E02000089,2.4812317088688127
E02000090,2.0126569146176987
E02000091,2.3230632936312627
E02000092,2.898979440911108
E02000093,2.239057239057239
E02000094,2.5339453050296425
E02000095,2.30291447682752
E02000096,2.2774869109947646
E02000097,2.2989712366155786
E02000098,2.309363210243512
E02000099,2.458416152317188
E02000100,1.6826923076923077
E02000101,2.6485397784491442
E02000102,3.447447447447447
E02000103,2.908142799839551
E02000104,2.1988272921108742
E02000105,2.548223350253807
E02000106,2.396135265700483
E02000107,2.2488344455617515
E02000108,2.5068870523415976
E02000110,2.239079897222562
E02000111,2.614552867145263
E02000112,2.1541081311196253
E02000113,3.67334232645014
E02000114,2.0902824104958864
