MSOA,higher_education_percent
E02000001,74.18186360229828
E02000002,30.910609857978276
E02000003,34.0151429540061
E02000004,30.74317968015052
E02000005,33.78395293528602
E02000007,31.703723546745245
E02000008,28.51487158664095
E02000009,33.504383151592904
E02000010,30.996466431095403
E02000011,31.136950904392762
E02000012,34.166195590729224
E02000013,30.078966259870782
E02000014,28.25238799946186
E02000015,32.641885164288084
E02000016,43.90662094434186
E02000017,34.631004061055876
E02000018,31.68500786051165
E02000019,31.77157504984335
E02000020,37.69485580670304
E02000021,31.422738693467338
E02000022,42.87296898079764
E02000023,36.94256154120585
E02000024,55.76599798274123
E02000025,48.275862068965516
E02000026,46.66411042944785
E02000027,40.352012423967906
E02000028,49.556854610597775
E02000029,43.170207044904544
E02000030,48.10110174983798
E02000031,56.49045521292217
E02000032,46.96450809464508
E02000033,42.71518544436669
E02000034,48.859576806815056
E02000035,55.48969799604855
E02000036,44.565217391304344
E02000037,49.190110826939474
E02000038,48.530432770192085
E02000039,52.837192858405515
E02000040,52.876258794316456
E02000041,42.40837696335078
E02000042,50.78673187327239
E02000043,61.636394500084876
E02000044,40.0
E02000045,45.18348623853211
E02000046,57.50877192982456
E02000047,35.89395678947918
E02000048,53.703474712501546
E02000049,41.88279301745636
E02000050,49.69515839808727
E02000051,55.51107552708834
E02000052,61.23933768188661
E02000054,49.55794888281627
E02000055,46.287519747235386
E02000056,64.37899416504584
E02000057,45.4759898904802
E02000058,55.91154667671818
E02000059,43.18370739817124
E02000060,39.71985992996498
E02000061,60.650500943807174
E02000062,39.45105215004575
E02000063,44.338537387017254
E02000064,50.55295220243674
E02000065,40.84175084175084
E02000066,35.13439007580978
E02000067,34.48014166455856
E02000068,33.720351633770115
E02000069,34.04405286343612
E02000070,28.998778998779002
E02000071,26.036096256684495
E02000072,35.975545483292926
E02000073,29.721966911764707
E02000074,27.649030753534472
E02000075,28.761731759006963
E02000077,30.2130898021309
E02000078,29.380475594493117
E02000079,34.09411101718794
E02000080,31.548355181795696
E02000081,29.847362853256765
E02000082,29.19796137339056
E02000083,30.687830687830687
E02000084,33.07942197826817
E02000085,25.356527190095594
E02000086,27.790121346778328
E02000087,36.59625111573936
E02000088,29.783163265306122
E02000089,30.505273099323155
E02000090,34.98150431565968
E02000091,34.4106463878327
E02000092,26.960136028717173
E02000093,37.3607277931105
E02000094,39.780245746691875
E02000095,38.28252269024901
E02000096,49.01960784313725
E02000097,35.43063434760186
E02000098,42.12218649517685
E02000099,40.88317199310436
E02000100,49.84679665738162
E02000101,38.63607714609857
E02000102,27.164658634538153
E02000103,36.53503184713376
E02000104,38.956271943823815
E02000105,39.042404176747745
