MSOA,unemployment_rate,inactive_rate
E02000001,5.75907009510391,27.100081556565303
E02000002,9.85523385300668,28.893986959671576
E02000003,7.657021877205364,27.524048877719036
E02000004,7.6512455516014235,29.262048192771083
E02000005,7.4067022086824075,24.6774339077867
E02000007,8.383361921097771,27.594687653713724
E02000008,9.019795657726693,27.066193674994338
E02000009,8.536790705505977,26.546952736318406
E02000010,8.364030335861322,25.935687928307853
E02000011,8.009492732126965,29.11392405063291
E02000012,7.7149155033063925,29.55789107964909
E02000013,8.042279411764707,27.791378392762105
E02000014,9.030516919244343,26.517992904206793
E02000015,10.153452685421994,25.75039494470774
E02000016,11.169693419254052,23.28442972077615
E02000017,8.368293221461691,28.594896506406748
E02000018,9.954853273137697,26.884422110552762
E02000019,8.92348169261127,25.483704086911533
E02000020,8.656934306569344,24.290288153681963
E02000021,8.493827160493828,26.46420824295011
E02000022,9.927555674805474,21.862086776859506
E02000023,9.946912545403745,25.277466018206756
E02000024,5.720864328728304,30.227838760261967
E02000025,7.065337763012182,28.80447448147285
E02000026,5.523809523809524,31.996283103608487
E02000027,6.958166911919276,30.793946932006634
E02000028,5.875576036866359,28.05755395683453
E02000029,7.3219658976930795,25.32299741602067
E02000030,4.11829134720701,33.34390527539909
E02000031,5.784743028347545,29.63496637848223
E02000032,5.365610182181183,30.435878054925674
E02000033,6.144762737808878,28.936122357174987
E02000034,6.170752324598478,28.040057224606578
E02000035,6.872037914691943,28.653463025899452
E02000036,5.4005400540054005,27.51445086705202
E02000037,6.1946902654867255,26.754062038404726
E02000038,5.5345231656751395,28.873962123332404
E02000039,5.055122344716321,27.022879464285715
E02000040,5.413665138616023,29.21225382932166
E02000041,6.64860358482701,28.050327764855147
E02000042,7.622203811101906,29.157293649420314
E02000043,4.240189623386884,27.67137762514859
E02000044,8.129370629370628,26.02848101265823
E02000045,8.147053389987068,27.28050171037628
E02000046,6.318883174136664,23.281182718530214
E02000047,8.493104608139927,29.293092317624275
E02000048,6.041181041181041,28.581153359914424
E02000049,9.916715088127058,27.11993163042446
E02000050,8.516177017478617,28.7820389285026
E02000051,8.454564621547544,30.040388603864205
E02000052,6.475738781466618,25.2234863876473
E02000054,6.937974993871047,28.06028833551769
E02000055,9.032258064516128,26.795156063448744
E02000056,4.545454545454546,29.963859380133613
E02000057,7.452928870292887,26.332210158492448
E02000058,5.067837190742218,28.82565757309084
E02000059,7.078151389528635,26.75038706347841
E02000060,5.231143552311435,26.50341784200052
E02000061,5.729049651763648,29.148681055155873
E02000062,9.689585146504207,28.982173663024728
E02000063,8.506666666666666,30.762130801687764
E02000064,7.878787878787878,28.01917890320647
E02000065,10.37854098771622,24.209351358055315
E02000066,9.415371140792644,28.457785320322444
E02000067,7.324364723467862,24.92665753960493
E02000068,8.430675469781615,25.57485322896282
E02000069,5.7493188010899186,27.777007349882126
E02000070,5.0576970292167935,30.579531442663377
E02000071,6.8252326783867625,27.597444922435145
E02000072,8.161660638465168,24.2283592480854
E02000073,5.029322907410698,28.68065268065268
E02000074,7.860063607451158,27.783417935702197
E02000075,4.544300583904545,33.40428195818205
E02000077,5.97943075819182,29.357572779756786
E02000078,4.553160571566965,28.551619815958652
